,name,category,price,reference_price,reference_unit,insert_date,subcategoria
18099,APEROL aperitivo botella 70 cl,alcoholicas,12.2,17.43,l,2023-01-19,destilados_licores
18100,PATA NEGRA vino tinto apasionado DOP Jumilla botella 75 cl,,5.99,7.99,l,2023-01-19,vino_tinto
18101,FAUSTINO RIVERO vino blanco afrutado botella 75 cl,alcoholicas,3.95,5.27,l,2023-01-19,destilados_licores
18102,CAMPO CURERO vino tinto roble DO Toro botella 75 cl,,2.99,3.99,l,2023-01-19,vino_tinto
18103,CAMPO CURERO vino tinto viñas viejas DO Toro botella 75 cl,,5.19,6.92,l,2023-01-19,vino_tinto
18104,CASTILLO DE HARO vino rosado DO Rioja 75 cl,,3.1,4.13,l,2023-01-19,vino_rosado
18105,CASTILLO DE HARO vino tinto joven madurado DO Rioja botella 75 cl,,3.85,5.13,l,2023-01-19,vino_tinto
18106,CASTILLO DE HARO vino tinto crianza DO Rioja botella 75 cl,,3.99,5.32,l,2023-01-19,vino_tinto
18107,SEÑORIO DE ONDAS vino blanco DO Rioja botella 75 cl,,2.45,3.27,l,2023-01-19,vino_blanco
18108,CASTILLO DE HARO vino tinto reserva DO Rioja botella 75 cl,,6.99,9.32,l,2023-01-19,vino_tinto
18109,GRAND ASTORIA cava reserva brut nature botella 75 cl,alcoholicas,4.49,5.99,l,2023-01-19,destilados_licores
18110,VIÑA ARDANCHE vino blanco chardonnay DO Navarra botella 75 cl,,2.15,2.87,l,2023-01-19,vino_blanco
18111,ARCO DEL SOL vino tinto crianza DO Ribera de Duero botella 75 cl,,4.35,5.8,l,2023-01-19,vino_tinto
18112,CASTILLO DE VELASCO vino rosado envase 1 lt,alcoholicas,1.1,1.1,l,2023-01-19,sangrias
18113,ARCO DEL SOL vino tinto roble DO Ribera de Duero botella 75 cl,,3.35,4.47,l,2023-01-19,vino_tinto
18114,VIÑA DANZA vino blanco DO Valdepeñas botella 75 cl ,,1.59,2.12,l,2023-01-19,vino_blanco
18115,ARCO DEL SOL vino tinto reserva DO Ribera de Duero botella 75 cl,,5.69,7.59,l,2023-01-19,vino_tinto
18116,VIÑA DANZA vino tinto crianza DO Valdepeñas botella 75 cl,,2.09,2.79,l,2023-01-19,vino_tinto
18117,VIÑA DANZA vino tinto reserva DO Valdepeñas botella 75 cl,,2.59,3.45,l,2023-01-19,vino_tinto
18118,VIÑA DANZA vino tinto joven DO Valdepeñas botella 75 cl,,1.69,2.25,l,2023-01-19,vino_tinto
18119,VIÑA DANZA vino rosado DO Valdepeñas botella 75 cl,,1.59,2.12,l,2023-01-19,vino_rosado
18120,TOPAZ vino blanco Pedro Ximénez DO Jerez botella 75 cl,alcoholicas,5.99,7.99,l,2023-01-19,destilados_licores
18121,PINTA EN COPAS vino rosado bobal botella 75 cl,alcoholicas,1.99,2.65,l,2023-01-19,sangrias
18122,PINTA EN COPAS vino tinto tempranillo syrah botella 75 cl,alcoholicas,1.99,2.65,l,2023-01-19,sangrias
18123,PINTA EN COPAS vino blanco viura-sauvignon botella 75 cl,alcoholicas,1.99,2.65,l,2023-01-19,sangrias
18124,RIBERA DE ALGODOR vino tinto reserva DO La Mancha botella 75 cl,,1.99,2.65,l,2023-01-19,vino_tinto
18125,VIÑA TABORA vino blanco IGP de Extremadura caja 3 lt,,4.95,1.65,l,2023-01-19,vino_blanco
18126,VALDERIVERO vino tinto joven DO Ribera de Duero botella 75 cl,,4.5,6.0,l,2023-01-19,vino_tinto
18127,MIRANDOLI vino tinto crianza DO Utiel Requena botella 75 cl,,2.15,2.87,l,2023-01-19,vino_tinto
18128,MIRANDOLI vino tinto reserva DO Utiel Requena botella 75 cl,,2.9,3.87,l,2023-01-19,vino_tinto
18129,DIA tinto de verano sin alcohol con limón botella 1.5 lt,alcoholicas,1.19,0.79,l,2023-01-19,sangrias
18130,HEREDAD BARÁN vino tinto roble D.O. Ribera del Duero botella 75 cl,,4.39,5.85,l,2023-01-19,vino_tinto
18131,HEREDAD BARÁN vino tinto crianza D.O. Ribera del Duero botella 75 cl,,5.59,7.45,l,2023-01-19,vino_tinto
18132,ABSTRACTIO vino tinto tempranillo botella 75 cl,alcoholicas,2.9,3.87,l,2023-01-19,sangrias
18133,ABSTRACTIO vino blanco sauvignon blanc botella 75 cl,alcoholicas,2.9,3.87,l,2023-01-19,sangrias
18134,RIO SECO vino blanco verdejo DO Rueda botella 75 cl,,4.29,5.72,l,2023-01-19,vino_blanco
18135,RIO SECO vino blanco sauvignon DO Rueda botella 75 cl,,3.39,4.52,l,2023-01-19,vino_blanco
18136,GERALDINO vino tinto crianza DO Cariñena botella 75 cl,,1.99,2.65,l,2023-01-19,vino_tinto
18137,GERALDINO vino tinto reserva DO Cariñena botella75 cl,,2.55,3.4,l,2023-01-19,vino_tinto
18138,CONDOMINIUM vino blanco frizzante 5º botella 75 cl,alcoholicas,1.99,2.65,l,2023-01-19,destilados_licores
18139,BALLANTINES whisky light botella 70 cl,alcoholicas,13.1,18.71,l,2023-01-19,destilados_licores
